Title,Description,Category,Tech Stack,Difficulty
AI Job Matcher,A tool that matches resumes with jobs using NLP,AI & ML,Python; Scikit-learn; Streamlit,Medium
Smart Traffic Lights,System to optimize traffic using real-time data,IoT & Automation,Python; OpenCV; Raspberry Pi,Hard
Mental Health Chatbot,Chatbot for emotional support and suggestions,Healthcare,Python; TensorFlow; React,Medium
Plant Disease Detector,Detect plant diseases from leaf images,Agritech,Python; CNN; Flask,Medium
Virtual Whiteboard,Collaborative whiteboard for remote teams,Productivity,React; Firebase; WebSockets,Medium
Recipe Recommender,App that recommends recipes based on ingredients,Lifestyle,Python; NLP; React,Easy
Campus Event Planner,Manage and discover events on campus,Education,MERN Stack; Firebase,Easy
Crowd Sensing App,Use mobile sensors to detect real-time crowd density,Smart Cities,Kotlin; Firebase; Maps API,Hard
Budget Tracker App,Track daily expenses and budgets,Finance,Flutter; Firebase,Easy
AI Resume Screener,Automatically screen resumes for HR,AI & ML,Python; NLP; Pandas,Medium
Disaster Alert App,Real-time alert system using geolocation,Emergency Tech,React Native; OpenWeatherMap API,Medium
Elderly Assistant,Voice-based assistant for senior citizens,Healthcare,Python; Speech Recognition; Raspberry Pi,Medium
Smart Attendance,Face recognition-based attendance system,Edtech,Python; OpenCV; Django,Medium
Crypto Wallet Tracker,Track cryptocurrency prices and holdings,Finance,React; Node.js; CoinGecko API,Easy
Pet Adoption Platform,Connect pet adopters and shelters,Social Good,MERN Stack; Cloudinary,Easy
Water Quality Monitor,IoT device to test water purity,Environment,Arduino; C++; MQ sensors,Hard
Remote Exam Proctor,Monitor exams using webcam and AI,Edtech,Python; OpenCV; YoloV5,Hard
Book Exchange Portal,College student book swapping system,Education,PHP; MySQL; Bootstrap,Easy
Parking Spot Finder,Real-time parking spot availability app,Smart Cities,React Native; Firebase; Maps API,Medium
Blood Donor App,Find nearby blood donors,Health,Flutter; Firebase,Easy
Noise Pollution Mapper,Map noise levels across a city,Environment,Android; Google Maps API,Medium
AI Fitness Coach,Track and guide workouts using AI,Health & Fitness,Python; MediaPipe; React,Hard
Resume Builder,Interactive resume template creator,Utilities,HTML; CSS; JS,Easy
Online Voting System,Secure online voting using OTP,Security,PHP; MySQL; Twilio API,Medium
Inventory Manager,Track and manage small biz inventory,Business Tools,React; Node; SQL,Easy
Charity Tracker,Track donations and NGOs,Social Good,Django; PostgreSQL,Easy
AI-based Quiz Generator,Create quizzes from text,Edtech,Python; NLP; HuggingFace,Medium
Language Learning Bot,Chatbot for new language learners,Education,Node.js; DialogFlow,Medium
Carbon Footprint Calculator,Calculate daily carbon usage,Environment,React; Node,Medium
Fake News Detector,Detect fake news using NLP,AI & ML,Python; Scikit-learn; Streamlit,Medium
Skill Sharing Platform,Exchange skills with others online,Social,Vue.js; Firebase,Easy
QR Code Attendance App,Scan QR to mark presence,Utilities,React Native; Firebase,Easy
Sleep Tracker App,Track and analyze sleep cycles,Health,Firebase; Flutter,Easy
Movie Recommendation System,Recommends movies using ML,Entertainment,Python; Pandas; Flask,Medium
Recyclable Waste Classifier,Classify waste using image recognition,Environment,Python; CNN; Streamlit,Medium
Freelancer Bidding System,Connect freelancers with clients,Business Tools,Laravel; MySQL,Medium
Lost and Found App,Report lost/found items in your area,Social Good,React Native; Firebase,Easy
Hackathon Portal,Create and join hackathons,Developer Tools,MERN Stack,Easy
